bv_color	abs_mag
0.588	2.612917844
0.933	0.694665148
1.201	-2.70399843
0.45	2.600496544
0.486	1.842164166
0.222	1.306869267
0.919	0.189279099
0.387	3.091355573
0.24	3.589615931
1.53	10.59273632
0.505	2.663878838
0.587	2.48333358
1.6	-1.025089638
1.09	-0.873732388
1.403	1.403611346
0.266	1.77860579
1.077	0.1810179
-0.108	-0.241598476
0.532	-0.295838849
0.05	0.992070689
0.95	6.820193836
0.59	3.46830854
0.472	2.79700214
-0.03	0.131647179
1.864	-5.706645131
0.167	2.26
0.435	2.128865392
0.451	1.344890437
0.493	4.29938789
0.453	2.942649941
1.071	0.310562479
0.855	5.988939607
0.261	1.640225611
0.655	4.983918984
0.625	4.696322734
0.557	4.719731283
1.775	-4.127008982
1.06	0.94865575
0.898	-1.124382226
0.075	-0.714733024
1.122	0.889206527
-0.013	-0.349250108
0.463	3.637524025
0.204	1.161104555
1.143	-0.797069119
0.471	3.100820348
0.932	1.466226253
0.053	-0.24108835
1.404	-0.148444142
0.787	2.429331362
0.059	0.004299812
1.665	-2.204748586
1.37	8.080974191
0.44	2.204489512
1.132	1.989367457
0.53	0.816959459
-0.079	-2.054664791
1.157	-3.047510986
0.469	2.559327852
0.467	-0.123232992
0.097	1.846785276
-0.08	-6.818191163
1.259	1.26871685
1.078	1.279374836
0.046	-0.108882032
0.651	5.069197033
0.095	1.168312773
1.15	0.213768167
0.637	3.71930879
0.349	-2.381009675
0.66	5.097032827
0.63	3.512570008
0.97	-1.626055843
0.589	2.454242381
0.547	3.737556609
0.524	3.384240534
0.929	3.298054051
1.07	0.771175138
0.599	2.798401067
1.22	8.188967778
1.4	7.976038414
0.552	3.78660532
0.386	2.917885256
0.958	0.026226253
0.589	3.169964631
1.31	7.900539349
0.02	1.935989074
0.317	2.044988876
0.635	4.771613409
1.414	8.184589792
0.271	1.953536251
0.293	2.623618312
-0.151	-8.619397651
0.082	-1.316350537
0.708	3.442817135
0.772	3.191513807
0.937	0.963756989
1.104	0.790247315
0.9	0.396300558
0.621	1.646148661
0.477	3.795956158
-0.041	-0.799622815
1.585	-3.153929782
0.577	3.928911419
0.282	1.08869471
1.098	1.538371193
0.443	1.091744245
1.029	0.991038099
0.312	0.425939512
1.111	0.730443877
0.542	4.809777415
0.717	5.17695078
0.97	0.528379014
0.995	1.11598118
0.324	2.792219265
0.82	5.940671072
0.599	4.370288163
1.382	-2.374022435
0.433	1.781063968
0.049	-0.925148725
1.397	-2.211097695
0.898	1.086571555
1.238	2.551598429
0.483	1.901061232
0.624	4.200585556
0.921	0.972334817
0.309	2.469778156
1.319	0.078824771
0.632	4.236688838
1.124	-0.209136029
0.327	3.365694018
1.03	1.905908517
0.237	1.142330118
0.616	0.693519117
1.479	9.797939063
-0.008	-0.613914005
1.036	0.105931622
0.49	2.262330118
0.57	4.536032867
1.304	-0.462353833
1.311	0.043214298
0.489	2.4282438
0.889	2.479662847
0.054	1.242457105
1.608	-2.572867407
1.56	10.32074709
